Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 pathlib.py:619(__str__)
       33    0.000    0.000    0.000    0.000 _pslinux.py:1654(wrap_exceptions)
      166    0.000    0.000    0.000    0.000 colors.py:565(__init__)
      247    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        1    0.000    0.000    0.000    0.000 patches.py:26(Patch)
       17    0.000    0.000    0.000    0.000 __init__.py:549(_)
       13    0.000    0.000    0.000    0.000 getlimits.py:458(__new__)
       33    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
       46    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       48    0.000    0.000    0.000    0.000 inspect.py:2696(replace)
        1    0.000    0.000    0.000    0.000 pydoc.py:1157(TextDoc)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 queues.py:1(<module>)
      145    0.000    0.000    0.000    0.000 inspect.py:850(getmodule)
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       39    0.000    0.000    0.000    0.000 pathlib.py:629(__fspath__)
        1    0.000    0.000    0.000    0.000 common.py:422(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:4414(IndentedBlock)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 version.py:257(Version)
        1    0.000    0.000    0.000    0.000 mathtext.py:35(__getattr__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        5    0.000    0.000    0.000    0.000 core.py:1385(__radd__)
       36    0.000    0.000    0.000    0.000 core.py:4125(<genexpr>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
       35    0.000    0.000    0.000    0.000 __editable___skmatter_0_1_4_finder.py:14(find_spec)
      304    0.000    0.000    0.000    0.000 rcsetup.py:790(_convert_validator_spec)
      117    0.000    0.000    0.000    0.000 re.py:330(filter)
      532    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.000    0.000 mathtext.py:37(<dictcomp>)
       63    0.000    0.000    0.000    0.000 deprecation.py:159(_deprecated_property)
       45    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       22    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
        1    0.000    0.000    0.000    0.000 _lsap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_schur.py:1(<module>)
      625    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      330    0.000    0.000    0.000    0.000 pkgutil.py:407(get_importer)
      410    0.000    0.000    0.000    0.000 version.py:331(pre)
     1842    0.000    0.000    0.000    0.000 __init__.py:759(<lambda>)
       17    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
       70    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
      128    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       16    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
      100    0.000    0.000    0.000    0.000 numerictypes.py:282(issubclass_)
       24    0.000    0.000    0.000    0.000 dviread.py:159(decorate)
        1    0.000    0.000    0.000    0.000 _pslinux.py:611(per_cpu_times)
       31    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
       38    0.000    0.000    0.000    0.000 core.py:2962(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 configparser.py:448(ExtendedInterpolation)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:993(home)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
       42    0.000    0.000    0.000    0.000 results.py:533(copy)
      410    0.000    0.000    0.000    0.000 version.py:321(epoch)
      134    0.000    0.000    0.000    0.000 ML_AB_reader.py:432(<listcomp>)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        1    0.000    0.000    0.000    0.000 sph.py:18(setup_asa)
        1    0.000    0.000    0.000    0.000 ML_AB_reader.py:443(<listcomp>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
      412    0.000    0.000    0.000    0.000 version.py:340(dev)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
       48    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
      173    0.000    0.000    0.000    0.000 textwrap.py:485(prefixed_lines)
      405    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
        1    0.000    0.000    0.000    0.000 art3d.py:283(Line3DCollection)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
       52    0.000    0.000    0.000    0.000 core.py:3798(<genexpr>)
      678    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
        1    0.000    0.000    0.000    0.000 pydoc.py:1805(Helper)
       16    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.000    0.000 _imp.py:1(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        1    0.000    0.000    0.000    0.000 __init__.py:298(Process)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      100    0.000    0.000    0.000    0.000 traceback.py:288(__getitem__)
      432    0.000    0.000    0.000    0.000 colors.py:226(<genexpr>)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        5    0.000    0.000    0.000    0.000 core.py:554(_setResultsName)
       32    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      134    0.000    0.000    0.000    0.000 ML_AB_reader.py:433(<listcomp>)
        1    0.000    0.000    0.000    0.000 helpers.py:1044(<listcomp>)
       12    0.000    0.000    0.000    0.000 numeric.py:1347(normalize_axis_tuple)
     1371    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       32    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:1656(__call__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
        1    0.000    0.000    0.000    0.000 _differentiable_functions.py:1(<module>)
      851    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      954    0.000    0.000    0.000    0.000 inspect.py:2684(default)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 __init__.py:327(<listcomp>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        1    0.000    0.000    0.000    0.000 patches.py:2654(ConnectionStyle)
        2    0.000    0.000    0.000    0.000 specifiers.py:620(SpecifierSet)
        1    0.000    0.000    0.000    0.000 offsetbox.py:690(TextArea)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:72(Fonts)
        1    0.000    0.000    0.000    0.000 case.py:308(TestCase)
        5    0.000    0.000    0.000    0.000 core.py:5567(__add__)
        1    0.000    0.000    0.000    0.000 distance.py:1756(MetricInfo)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(mean)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
      410    0.000    0.000    0.000    0.000 version.py:336(post)
        2    0.000    0.000    0.000    0.000 __init__.py:2846(from_filename)
       46    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 axis.py:35(Tick)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:124(Diagnostics)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        5    0.000    0.000    0.000    0.000 blas.py:383(getter)
      147    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
       39    0.000    0.000    0.000    0.000 dataclasses.py:379(_tuple_str)
        1    0.000    0.000    0.000    0.000 core.py:3577(ParseExpression)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      412    0.000    0.000    0.000    0.000 version.py:344(local)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:284(Legend)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
       17    0.000    0.000    0.000    0.000 dataclasses.py:573(<listcomp>)
      542    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       17    0.000    0.000    0.000    0.000 dataclasses.py:370(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 axis.py:602(Axis)
        2    0.000    0.000    0.000    0.000 sysconfig.py:64(_getuserbase)
        1    0.000    0.000    0.000    0.000 configparser.py:1311(ConverterMapping)
       20    0.000    0.000    0.000    0.000 __init__.py:3161(_find_adapter)
      117    0.000    0.000    0.000    0.000 sre_parse.py:1054(expand_template)
        5    0.000    0.000    0.000    0.000 utils.py:129(_get_indent)
      203    0.000    0.000    0.000    0.000 __init__.py:674(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
        6    0.000    0.000    0.000    0.000 pathlib.py:1298(is_dir)
        2    0.000    0.000    0.000    0.000 specifiers.py:39(BaseSpecifier)
  277/275    0.000    0.000    0.000    0.000 results.py:159(__init__)
      137    0.000    0.000    0.000    0.000 dataclasses.py:266(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
      187    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 tensor_classes.py:117(Tensor_Type)
        2    0.000    0.000    0.000    0.000 __init__.py:512(_get_data_path)
        2    0.000    0.000    0.000    0.000 getlimits.py:491(_init)
        1    0.000    0.000    0.000    0.000 collections.py:1922(QuadMesh)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:3313(mean)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
        7    0.000    0.000    0.000    0.000 core.py:3380(__init__)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1139(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       28    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      480    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        1    0.000    0.000    0.000    0.000 results.py:27(ParseResults)
        9    0.000    0.000    0.000    0.000 typing.py:801(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:111(<listcomp>)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
       51    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 testing.py:15(pyparsing_test)
      410    0.000    0.000    0.000    0.000 version.py:326(release)
      139    0.000    0.000    0.000    0.000 core.py:750(preParse)
      6/3    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
       39    0.000    0.000    0.000    0.000 deprecation.py:352(<genexpr>)
        6    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      450    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       33    0.000    0.000    0.000    0.000 contextlib.py:279(helper)
        1    0.000    0.000    0.000    0.000 mathtext.py:190(MathtextBackendPs)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       34    0.000    0.000    0.000    0.000 inspect.py:1357(formatannotation)
      306    0.000    0.000    0.000    0.000 __init__.py:688(__iter__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      134    0.000    0.000    0.000    0.000 fromnumeric.py:1478(squeeze)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      166    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
      133    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:1(<module>)
        3    0.000    0.000    0.000    0.000 deprecation.py:459(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2703(MaskedArray)
       36    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
       47    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      340    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        3    0.000    0.000    0.000    0.000 typing.py:1322(__class_getitem__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 _util.py:241(_asarray_validated)
      226    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        3    0.000    0.000    0.000    0.000 pathlib.py:1430(expanduser)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        1    0.000    0.000    0.000    0.000 mathtext.py:234(MathtextBackendPdf)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _methods.py:163(_mean)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:2248(<dictcomp>)
      158    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1653(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 widgets.py:3257(LassoSelector)
        1    0.000    0.000    0.000    0.000 unicode.py:75(nums)
        1    0.000    0.000    0.000    0.000 __init__.py:1696(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 core.py:2814(__new__)
       37    0.000    0.000    0.000    0.000 inspect.py:1990(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
      242    0.000    0.000    0.000    0.000 core.py:3595(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:4734(_MultipleMatch)
       30    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
      784    0.000    0.000    0.000    0.000 {function _typedict.__getitem__ at 0x14c4b23541f0}
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
       50    0.000    0.000    0.000    0.000 os.py:754(encode)
      347    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 std.py:247(tqdm)
        1    0.000    0.000    0.000    0.000 cmd.py:12(Command)
       28    0.000    0.000    0.000    0.000 pathlib.py:743(stem)
        7    0.000    0.000    0.000    0.000 _common.py:411(memoize_when_activated)
       42    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
        1    0.000    0.000    0.000    0.000 patches.py:1225(Arrow)
        1    0.000    0.000    0.000    0.000 gridspec.py:539(SubplotSpec)
        1    0.000    0.000    0.000    0.000 _testutils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3444(Or)
        8    0.000    0.000    0.000    0.000 core.py:4735(__init__)
      111    0.000    0.000    0.000    0.000 inspect.py:1872(_signature_get_user_defined_method)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        2    0.000    0.000    0.000    0.000 core.py:2972(__array_finalize__)
        1    0.000    0.000    0.000    0.000 geo.py:14(GeoAxes)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:823(__contains__)
       90    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        3    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       10    0.000    0.000    0.000    0.000 case.py:1339(_deprecate)
      202    0.000    0.000    0.000    0.000 __init__.py:930(_added_new)
        8    0.000    0.000    0.000    0.000 core.py:5693(<genexpr>)
      201    0.000    0.000    0.000    0.000 _internal.py:881(<genexpr>)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 qt_compat.py:265(__getattr__)
        3    0.000    0.000    0.000    0.000 version.py:106(LegacyVersion)
       14    0.000    0.000    0.000    0.000 core.py:8166(_replace_return_type)
       40    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        6    0.000    0.000    0.000    0.000 pathlib.py:1090(stat)
        1    0.000    0.000    0.000    0.000 mathtext.py:298(MathtextBackendPath)
        2    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
      161    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       36    0.000    0.000    0.000    0.000 colors.py:272(<genexpr>)
       14    0.000    0.000    0.000    0.000 specifiers.py:287(_require_version_compare)
       72    0.000    0.000    0.000    0.000 util.py:111(set_)
       18    0.000    0.000    0.000    0.000 __init__.py:2402(_is_unpacked_egg)
        2    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:92(AxesWidget)
        1    0.000    0.000    0.000    0.000 core.py:2881(Regex)
        3    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:5688(<lambda>)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
        5    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
       21    0.000    0.000    0.000    0.000 re.py:324(_subx)
       82    0.000    0.000    0.000    0.000 dataclasses.py:818(_set_qualname)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        8    0.000    0.000    0.000    0.000 pathlib.py:851(__truediv__)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
      212    0.000    0.000    0.000    0.000 transforms.py:1337(<genexpr>)
       13    0.000    0.000    0.000    0.000 functools.py:844(register)
       46    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       23    0.000    0.000    0.000    0.000 rcsetup.py:276(validate_color_or_auto)
      137    0.000    0.000    0.000    0.000 dataclasses.py:510(_init_param)
        1    0.000    0.000    0.000    0.000 core.py:4321(ParseElementEnhance)
      134    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       28    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        3    0.000    0.000    0.000    0.000 core.py:3469(__init__)
        2    0.000    0.000    0.000    0.000 sysconfig.py:73(joinuser)
       28    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
       16    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:103(FullHessianUpdateStrategy)
        2    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
      396    0.000    0.000    0.000    0.000 __init__.py:2614(_reload_version)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
        4    0.000    0.000    0.000    0.000 blas.py:325(_get_funcs)
      702    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 core.py:521(set_results_name)
        1    0.000    0.000    0.000    0.000 colors.py:77(<dictcomp>)
       17    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 art3d.py:504(Path3DCollection)
        2    0.000    0.000    0.000    0.000 specifiers.py:90(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        3    0.000    0.000    0.000    0.000 patches.py:2177(<listcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
      457    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
       33    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      390    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
        8    0.000    0.000    0.000    0.000 pathlib.py:613(_make_child)
        3    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 ordered_set.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
        1    0.000    0.000    0.000    0.000 art3d.py:677(Poly3DCollection)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       30    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:129(CallbackRegistry)
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
        1    0.000    0.000    0.000    0.000 backend_agg.py:68(RendererAgg)
       72    0.000    0.000    0.000    0.000 util.py:108(get)
        3    0.000    0.000    0.000    0.000 six.py:96(__get__)
      128    0.000    0.000    0.000    0.000 core.py:1704(set_whitespace_chars)
      211    0.000    0.000    0.000    0.000 traceback.py:309(walk_stack)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3548(export)
      149    0.000    0.000    0.000    0.000 deprecation.py:104(deprecated)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       19    0.000    0.000    0.000    0.000 __init__.py:1290(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
        1    0.000    0.000    0.000    0.000 tight_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       12    0.000    0.000    0.000    0.000 rcsetup.py:339(_validate_cmap)
      306    0.000    0.000    0.000    0.000 dataclasses.py:426(<genexpr>)
        1    0.000    0.000    0.000    0.000 art3d.py:332(Patch3D)
        1    0.000    0.000    0.000    0.000 _psposix.py:61(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:28(Cursors)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       35    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:443(_get_xdg_config_dir)
       93    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       28    0.000    0.000    0.000    0.000 enum.py:82(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1283(XMLPullParser)
        1    0.000    0.000    0.000    0.000 art3d.py:408(Patch3DCollection)
       81    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        1    0.000    0.000    0.000    0.000 art3d.py:359(PathPatch3D)
        1    0.000    0.000    0.000    0.000 queue.py:34(__init__)
      461    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        1    0.000    0.000    0.000    0.000 core.py:3121(view)
        3    0.000    0.000    0.000    0.000 six.py:882(wrapper)
       31    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
      212    0.000    0.000    0.000    0.000 transforms.py:1343(<genexpr>)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:15(TriInterpolator)
        1    0.000    0.000    0.000    0.000 _mathtext.py:763(StandardPsFonts)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
        6    0.000    0.000    0.000    0.000 core.py:4856(__init__)
        3    0.000    0.000    0.000    0.000 random.py:119(__init__)
       30    0.000    0.000    0.000    0.000 locale.py:657(getpreferredencoding)
       63    0.000    0.000    0.000    0.000 deprecation.py:181(finalize)
        1    0.000    0.000    0.000    0.000 _pslinux.py:595(cpu_times)
        1    0.000    0.000    0.000    0.000 hatch.py:157(Stars)
        1    0.000    0.000    0.000    0.000 pyprojecttoml.py:192(_ConfigExpander)
       79    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _arrays.py:53(_matrix_doc_to_array)
        1    0.000    0.000    0.000    0.000 core.py:226(reload_library)
        1    0.000    0.000    0.000    0.000 __init__.py:322(_sanity_check)
       43    0.000    0.000    0.000    0.000 pathlib.py:606(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 _polyint.py:1(<module>)
      158    0.000    0.000    0.000    0.000 traceback.py:259(__init__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       28    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        1    0.000    0.000    0.000    0.000 abc.py:312(ResourceReader)
        9    0.000    0.000    0.000    0.000 typing.py:722(__init__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
       28    0.000    0.000    0.000    0.000 pathlib.py:964(_make_child_relpath)
        9    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 text.py:91(Text)
       20    0.000    0.000    0.000    0.000 core.py:952(reset_cache)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       37    0.000    0.000    0.000    0.000 rcsetup.py:438(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1093(TextBox)
       38    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
