Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  127/124    0.078    0.001    0.082    0.001 {built-in method _imp.create_dynamic}
       28    0.000    0.000    0.077    0.003 core.py:2906(__init__)
     4199    0.005    0.000    0.075    0.000 {built-in method builtins.sorted}
      804    0.002    0.000    0.073    0.000 __init__.py:2151(distributions_from_metadata)
      776    0.002    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       16    0.000    0.000    0.072    0.005 __init__.py:2030(_by_version_descending)
      776    0.070    0.000    0.070    0.000 {built-in method marshal.loads}
      776    0.069    0.000    0.069    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.067    0.067 helpers.py:1(<module>)
      939    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1720    0.014    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
  940/939    0.004    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.061    0.061 _interpolate.py:1(<module>)
    23538    0.025    0.000    0.060    0.000 inspect.py:2630(__init__)
      4/2    0.000    0.000    0.060    0.030 pyplot.py:206(switch_backend)
        1    0.000    0.000    0.060    0.060 art3d.py:1(<module>)
      476    0.000    0.000    0.059    0.000 __init__.py:653(__getitem__)
        1    0.000    0.000    0.059    0.059 TEN_ML_AB_reader.py:145(read_data)
        1    0.012    0.012    0.058    0.058 ML_AB_reader.py:364(read_ML_AB)
      511    0.057    0.000    0.057    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.055    0.018 pyplot.py:267(backend_mod)
        1    0.000    0.000    0.055    0.055 geo.py:1(<module>)
      127    0.000    0.000    0.054    0.000 docstring.py:36(__call__)
        1    0.000    0.000    0.054    0.054 backend_qtagg.py:1(<module>)
  115/105    0.000    0.000    0.054    0.001 docstring.py:83(__call__)
       13    0.000    0.000    0.053    0.004 docstring.py:55(__missing__)
      316    0.000    0.000    0.053    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.052    0.052 splines.py:1(<module>)
        1    0.000    0.000    0.051    0.051 legend.py:1(<module>)
        4    0.000    0.000    0.049    0.012 _base.py:1(<module>)
        1    0.000    0.000    0.049    0.049 qt_compat.py:1(<module>)
        3    0.000    0.000    0.049    0.016 qt_compat.py:80(_setup_pyqt5plus)
 4113/316    0.017    0.000    0.047    0.000 sre_compile.py:71(_compile)
     3241    0.022    0.000    0.047    0.000 version.py:261(__init__)
        1    0.000    0.000    0.046    0.046 offsetbox.py:1(<module>)
      402    0.001    0.000    0.045    0.000 __init__.py:2054(_by_version)
  127/102    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.044    0.044 _bvp.py:1(<module>)
  127/102    0.009    0.000    0.044    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.043    0.022 requirements.py:1(<module>)
     11/9    0.000    0.000    0.043    0.005 __init__.py:51(create_module)
     11/9    0.000    0.000    0.043    0.005 __init__.py:29(load_module)
615226/610945    0.041    0.000    0.042    0.000 {built-in method builtins.len}
        4    0.001    0.000    0.042    0.010 core.py:1(<module>)
      402    0.001    0.000    0.042    0.000 __init__.py:2060(<listcomp>)
      588    0.036    0.000    0.041    0.000 splines.py:130(exp_times_bessel)
     1610    0.004    0.000    0.041    0.000 __init__.py:2045(try_parse)
    24246    0.028    0.000    0.038    0.000 enum.py:359(__call__)
   218831    0.038    0.000    0.038    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.038    0.019 dist.py:1(<module>)
25280/24573    0.005    0.000    0.037    0.000 {built-in method builtins.hasattr}
    50287    0.036    0.000    0.036    0.000 {method 'dot' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.035    0.018 _cubic.py:628(__init__)
        1    0.000    0.000    0.035    0.035 polar.py:1(<module>)
        1    0.000    0.000    0.035    0.035 axis.py:1(<module>)
     5185    0.003    0.000    0.035    0.000 re.py:197(search)
        2    0.033    0.016    0.033    0.017 _basic.py:361(solve_banded)
        1    0.000    0.000    0.032    0.032 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.032    0.032 __init__.py:186(__getattr__)
        1    0.000    0.000    0.029    0.029 image.py:1(<module>)
     8863    0.018    0.000    0.028    0.000 inspect.py:2913(__init__)
   233491    0.024    0.000    0.027    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.027    0.027 axis3d.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _axes.py:46(Axes)
      101    0.002    0.000    0.026    0.000 artist.py:139(<listcomp>)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
      404    0.002    0.000    0.024    0.000 __init__.py:2597(from_location)
   296598    0.024    0.000    0.024    0.000 {method 'lstrip' of 'str' objects}
   120469    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.023    0.023 lines.py:1(<module>)
        1    0.000    0.000    0.023    0.023 quiver.py:1(<module>)
        1    0.000    0.000    0.023    0.023 text.py:1(<module>)
        2    0.000    0.000    0.022    0.011 pyparsing.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _minimize.py:1(<module>)
    59206    0.022    0.000    0.022    0.000 {method 'split' of 'str' objects}
     6139    0.021    0.000    0.021    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.021    0.005 common.py:1(<module>)
        1    0.000    0.000    0.021    0.021 parallel.py:1(<module>)
      418    0.002    0.000    0.020    0.000 __init__.py:2085(<genexpr>)
        1    0.000    0.000    0.020    0.020 common.py:8(pyparsing_common)
        1    0.000    0.000    0.020    0.020 multiarray.py:1(<module>)
    14308    0.018    0.000    0.020    0.000 _quad_vec.py:16(__setitem__)
    12328    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.020    0.020 _sketches.py:1(<module>)
      922    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.019    0.019 textpath.py:1(<module>)
        1    0.000    0.000    0.019    0.019 overrides.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _parallel_backends.py:1(<module>)
    31445    0.008    0.000    0.018    0.000 sre_parse.py:254(get)
      545    0.017    0.000    0.018    0.000 sre_compile.py:276(_optimize_charset)
      216    0.010    0.000    0.018    0.000 artist.py:1358(<listcomp>)
     9768    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      203    0.000    0.000    0.018    0.000 __init__.py:3285(<genexpr>)
      202    0.000    0.000    0.018    0.000 __init__.py:2795(activate)
        1    0.000    0.000    0.017    0.017 minimize_trustregion_constr.py:1(<module>)
       30    0.003    0.000    0.017    0.001 __init__.py:759(_rc_params_in_file)
        2    0.000    0.000    0.017    0.009 pool.py:1(<module>)
49693/49672    0.014    0.000    0.017    0.000 {method 'join' of 'str' objects}
     4667    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   132384    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
      404    0.001    0.000    0.017    0.000 __init__.py:2584(__init__)
        8    0.000    0.000    0.017    0.002 utils.py:1(<module>)
        4    0.000    0.000    0.016    0.004 context.py:1(<module>)
    50286    0.011    0.000    0.016    0.000 linalg.py:117(isComplexType)
        1    0.000    0.000    0.016    0.016 _memmapping_reducer.py:1(<module>)
      134    0.006    0.000    0.016    0.000 ML_AB_reader.py:430(<listcomp>)
        1    0.000    0.000    0.016    0.016 _constraints.py:1(<module>)
    32072    0.015    0.000    0.015    0.000 {method 'expandtabs' of 'str' objects}
      450    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.015    0.015 colors.py:1(<module>)
      134    0.005    0.000    0.015    0.000 ML_AB_reader.py:428(<listcomp>)
     8772    0.008    0.000    0.015    0.000 inspect.py:612(unwrap)
     1552    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    43711    0.010    0.000    0.014    0.000 sre_parse.py:164(__getitem__)
     8638    0.009    0.000    0.014    0.000 inspect.py:66(get_annotations)
     1986    0.005    0.000    0.014    0.000 __init__.py:2100(dist_factory)
      410    0.001    0.000    0.014    0.000 __init__.py:1336(safe_version)
     2184    0.004    0.000    0.014    0.000 inspect.py:663(_finddoc)
        2    0.000    0.000    0.013    0.007 specifiers.py:1(<module>)
        2    0.000    0.000    0.013    0.006 core.py:193(read_style_directory)
        1    0.000    0.000    0.012    0.012 table.py:1(<module>)
    36111    0.012    0.000    0.012    0.000 sre_parse.py:233(__next)
     1266    0.001    0.000    0.012    0.000 __init__.py:623(__setitem__)
     3178    0.008    0.000    0.012    0.000 posixpath.py:71(join)
       28    0.000    0.000    0.012    0.000 __init__.py:837(rc_params_from_file)
       52    0.000    0.000    0.012    0.000 pyparsing.py:2779(__init__)
    50286    0.012    0.000    0.012    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     3026    0.005    0.000    0.012    0.000 copy.py:66(copy)
        1    0.000    0.000    0.012    0.012 __init__.py:2275(class_factory)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _secondary_axes.py:1(<module>)
       17    0.000    0.000    0.011    0.001 dataclasses.py:1175(wrap)
       17    0.001    0.000    0.011    0.001 dataclasses.py:882(_process_class)
   150718    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
   104217    0.011    0.000    0.011    0.000 {built-in method builtins.issubclass}
     1679    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
  643/609    0.000    0.000    0.011    0.000 typing.py:306(inner)
      963    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.011    0.011 reusable_executor.py:1(<module>)
 4469/699    0.008    0.000    0.010    0.000 sre_parse.py:174(getwidth)
      793    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.010    0.010 process_executor.py:1(<module>)
        1    0.000    0.000    0.010    0.010 func_inspect.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _laplacian.py:1(<module>)
        2    0.000    0.000    0.010    0.005 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.010    0.010 logger.py:1(<module>)
      903    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       92    0.001    0.000    0.010    0.000 __init__.py:1338(_preprocess_data)
    28575    0.007    0.000    0.010    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.009    0.009 disk.py:1(<module>)
        1    0.000    0.000    0.009    0.009 override.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:63(do_override)
        1    0.000    0.000    0.009    0.009 __init__.py:47(ensure_local_distutils)
    25907    0.008    0.000    0.009    0.000 {built-in method builtins.max}
       93    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
     9768    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
      310    0.000    0.000    0.009    0.000 __init__.py:2218(_handle_ns)
      202    0.000    0.000    0.009    0.000 __init__.py:2323(fixup_namespace_packages)
        2    0.000    0.000    0.009    0.004 reduction.py:1(<module>)
     1853    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1600    0.002    0.000    0.009    0.000 __init__.py:2077(<genexpr>)
      241    0.000    0.000    0.009    0.000 __init__.py:2784(_get_metadata)
      374    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
    50286    0.008    0.000    0.008    0.000 linalg.py:2353(_norm_dispatcher)
     2079    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       79    0.003    0.000    0.008    0.000 __init__.py:328(namedtuple)
       17    0.000    0.000    0.008    0.000 dataclasses.py:1157(dataclass)
        1    0.000    0.000    0.008    0.008 exceptions.py:1(<module>)
     1612    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     4000    0.004    0.000    0.008    0.000 artist.py:1448(aliased_name)
